deal_id,acquirer_name,target_name,sector,region,acquirer_type,deal_status,deal_size_musd,target_revenue_musd,target_ebitda_margin_pct,target_revenue_growth_pct,target_net_debt_ebitda,customer_concentration_top5_pct,litigation_flag,cyber_incidents_last_3y,regulatory_fines_last_3y_musd,hr_attrition_rate_pct,key_person_risk_level_1_low_3_high,cultural_distance_score_1_10,integration_complexity_score_1_10,it_integration_risk_1_10,data_privacy_risk_1_10,supply_chain_top3_spend_pct,synergy_realization_score_1_10,overall_deal_risk_score_1_10,overall_deal_risk_bucket
DEAL_1117,Nova Group,TrustBank PLC,Telecom,APAC ex-India,Strategic,Closed,18.53,62.06,24.6,18.4,5.45,58.8,1,0,0.0,5.0,3,7.1,10.0,10.0,7.5,42.9,8.9,6.0,Medium
DEAL_1118,Orion Group,EcoGrid Inc,Software,APAC ex-India,Strategic,Closed,78.49,53.59,10.7,3.4,1.67,38.4,0,0,0.0,31.6,3,1.5,4.9,8.6,3.7,40.7,6.8,3.62,Low
DEAL_1119,Cresta Holdings,EcoGrid Ltd,FMCG,APAC ex-India,Strategic,Pending Regulatory Approval,5.52,80.6,24.1,5.1,1.03,57.8,1,0,0.0,31.4,1,7.2,8.3,5.9,1.6,19.1,5.7,4.5,Medium
DEAL_1120,Nova Holdings,Horizon Corp,Telecom,India,Strategic,Announced,73.35,112.74,31.6,2.4,3.36,67.4,0,1,0.0,21.3,2,9.9,8.8,4.8,3.1,28.4,8.0,5.03,Medium
DEAL_1121,Summit Ltd,AgriNova Holdings,Industrial,Europe,Sovereign Fund,Announced,17.85,28.3,20.4,8.7,3.28,10.0,0,1,0.0,22.0,1,6.7,4.1,9.3,6.4,31.5,8.5,4.02,Low
DEAL_1122,Orion PLC,Skyline Ltd,Telecom,Europe,Private Equity,Pending Regulatory Approval,11.31,42.53,21.3,2.8,2.55,35.0,0,1,0.0,18.3,1,4.4,6.1,7.9,3.0,59.9,7.7,3.93,Low
DEAL_1123,Nova Corp,TrustBank Ltd,FMCG,LATAM,Strategic,Pending Regulatory Approval,26.15,135.62,22.8,9.4,2.3,15.8,0,3,0.0,5.0,1,2.8,6.3,4.8,1.5,31.5,4.0,2.66,Low
DEAL_1124,Summit PLC,UrbanLeaf Inc,Software,India,Strategic,Closed,38.75,38.47,26.3,-0.1,0.0,19.2,1,0,0.0,20.9,1,4.5,6.4,6.5,3.5,35.5,2.0,3.29,Low
DEAL_1125,Zenith Corp,Quantum Ltd,Renewable Energy,North America,Sovereign Fund,Terminated,15.48,35.44,11.9,18.3,2.7,34.6,0,1,0.0,24.4,3,4.6,9.2,4.7,9.2,64.3,4.9,4.7,Medium
DEAL_1126,Cresta Corp,EcoGrid Inc,Retail,APAC ex-India,Strategic,Closed,14.94,46.02,12.9,14.4,1.9,38.4,0,0,0.0,9.8,3,1.0,6.5,4.7,1.0,35.3,7.1,2.69,Low
DEAL_1127,Altair Inc,UrbanLeaf Group,Healthcare,India,Private Equity,Terminated,7.93,99.63,26.7,2.3,1.57,43.5,0,0,0.0,28.4,3,4.4,5.6,2.5,1.0,25.6,6.1,3.15,Low
DEAL_1128,Cresta PLC,Skyline Group,Fintech,LATAM,Private Equity,Closed,47.68,80.84,24.9,2.6,4.4,34.9,1,1,0.0,11.2,1,2.6,5.7,5.4,5.4,45.1,4.5,4.2,Low
DEAL_1129,Summit Group,EcoGrid PLC,Fintech,Europe,Strategic,Closed,13.9,72.54,15.9,14.1,0.0,37.0,0,0,0.0,5.0,3,3.5,1.0,4.7,2.4,10.5,4.3,1.77,Low
DEAL_1130,Summit Inc,TrustBank Corp,Logistics,APAC ex-India,Strategic,Closed,26.49,29.17,4.1,8.5,2.48,24.4,0,1,0.0,12.8,1,4.1,7.7,6.2,3.6,40.3,4.8,3.53,Low
DEAL_1131,BlueRiver Group,FinBeacon PLC,FMCG,Europe,Strategic,Pending Regulatory Approval,26.5,52.83,14.3,2.8,2.62,36.0,0,2,0.0,28.8,2,7.8,5.8,5.6,1.2,27.0,7.5,4.01,Low
DEAL_1132,Orion Holdings,Horizon Group,FMCG,Europe,Private Equity,Closed,134.36,35.44,18.2,5.9,2.22,18.2,1,0,0.0,9.2,2,6.9,5.3,4.9,3.2,40.1,3.6,3.5,Low
DEAL_1133,Altair Group,UrbanLeaf Holdings,Retail,North America,Strategic,Announced,80.28,28.72,33.3,1.3,2.87,65.6,1,0,0.0,12.6,1,5.0,2.7,7.8,4.2,46.6,7.3,4.35,Low
DEAL_1134,Cresta PLC,EcoGrid Holdings,Software,LATAM,Private Equity,Pending Regulatory Approval,14.68,32.18,12.3,16.1,4.61,26.8,0,1,1.89,22.5,1,8.8,4.7,4.7,5.1,15.5,5.1,4.27,Low
DEAL_1135,Zenith PLC,FinBeacon Inc,Renewable Energy,India,Private Equity,Closed,17.98,111.83,13.7,0.9,1.01,40.4,1,0,0.0,16.7,2,4.7,2.0,6.1,6.6,20.2,9.1,3.42,Low
DEAL_1136,Vertex Inc,EcoGrid Inc,Renewable Energy,North America,Private Equity,Closed,39.47,105.43,12.0,15.3,4.62,27.7,0,0,0.0,7.5,2,7.5,6.9,5.4,5.4,40.7,6.2,4.22,Low
DEAL_1137,Nimbus Corp,Starlance PLC,Renewable Energy,North America,Private Equity,Pending Regulatory Approval,31.24,118.14,11.6,17.2,1.87,57.2,1,0,0.0,30.6,1,6.9,8.0,8.2,2.2,56.4,5.5,5.09,Medium
DEAL_1138,Summit Corp,MetaWave Holdings,Logistics,LATAM,Strategic,Closed,23.07,66.88,16.5,6.0,0.85,47.5,1,0,0.0,6.2,2,10.0,4.4,5.9,5.5,71.7,5.5,4.27,Low
DEAL_1139,Nimbus PLC,EcoGrid Holdings,Software,APAC ex-India,Strategic,Announced,13.62,81.93,18.6,4.9,3.99,24.5,0,2,0.0,14.1,1,4.4,3.7,3.8,4.8,53.0,7.1,3.57,Low
DEAL_1140,Zenith Corp,Quantum Group,Renewable Energy,Europe,Strategic,Announced,10.83,110.71,30.3,-0.5,2.4,46.9,1,0,5.04,5.0,2,7.2,5.6,4.9,7.7,31.1,6.0,4.23,Low
DEAL_1141,Nimbus Group,Horizon Ltd,Industrial,Europe,Private Equity,Closed,9.45,72.24,28.8,12.1,2.46,54.1,0,0,5.4,21.9,2,6.7,3.7,5.3,2.9,29.2,5.8,3.79,Low
DEAL_1142,Vertex PLC,MetaWave Inc,Telecom,India,Strategic,Terminated,24.86,27.03,31.6,20.4,2.82,26.5,1,1,2.99,17.4,1,4.8,2.7,5.8,5.1,37.0,5.9,3.74,Low
DEAL_1143,Nimbus Corp,Skyline Group,Telecom,India,Private Equity,Closed,12.08,96.7,32.6,12.2,2.68,44.5,0,0,0.0,15.7,2,3.1,10.0,3.3,6.5,41.4,8.6,4.03,Low
DEAL_1144,Zenith Inc,AgriNova Holdings,Software,India,Private Equity,Closed,11.23,37.99,24.6,4.4,4.56,18.8,1,1,0.0,26.0,1,9.9,8.6,6.9,5.5,59.5,4.6,5.6,Medium
DEAL_1145,Altair Holdings,MetaWave Corp,Logistics,India,Private Equity,Closed,21.56,49.07,22.2,13.5,0.89,32.5,1,0,0.0,18.3,2,4.7,4.9,8.9,4.6,13.9,6.2,3.62,Low
DEAL_1146,Cresta Inc,MetaWave Inc,Software,APAC ex-India,Strategic,Announced,11.66,54.54,16.2,15.0,1.33,36.7,0,0,0.0,5.0,2,8.0,5.9,5.6,6.4,37.8,8.8,3.58,Low
DEAL_1147,Vertex Holdings,MetaWave Corp,Media,North America,Strategic,Announced,32.27,74.47,13.5,2.3,0.0,37.3,0,0,0.0,22.3,1,9.1,8.5,1.9,6.5,30.4,4.5,3.74,Low
DEAL_1148,Orion Corp,Skyline Group,FMCG,LATAM,Private Equity,Closed,11.93,72.81,19.6,12.9,2.09,22.5,1,0,0.0,23.5,2,3.0,4.4,1.8,5.6,37.8,8.3,3.33,Low
DEAL_1149,Atlas Holdings,Quantum Group,Logistics,North America,Strategic,Pending Regulatory Approval,15.02,173.42,9.6,4.1,4.54,30.0,0,0,0.0,21.4,2,6.3,4.9,6.4,7.0,55.7,6.0,4.57,Medium
